DATE,price
2022-03-01,1.88090257318
2022-03-02,1.9457721748395
2022-03-03,1.8569469600302
2022-03-04,1.8758416473332
2022-03-05,1.7388418638836
2022-03-06,1.77150102057
2022-03-07,1.705547085555
2022-03-08,1.6287297734176
2022-03-09,1.598765530707
2022-03-10,1.6475903015473
2022-03-11,1.5561591213549
2022-03-12,1.5675661813526
2022-03-13,2.1045376175444
2022-03-14,1.8184340958676
2022-03-15,1.7465746472319
2022-03-16,1.8267613248827
2022-03-17,1.8695581419948
2022-03-18,1.8045730509964
2022-03-19,2.0802326983455
2022-03-20,2.1836007379988
2022-03-21,2.8551976398014
2022-03-22,2.4202956569192
2022-03-23,2.4007480202597
2022-03-24,2.5292907175049
2022-03-25,2.5428591319366
2022-03-26,2.4139921395357
2022-03-27,2.3887033433386
2022-03-28,2.354648037222
2022-03-29,2.4034422739876
2022-03-30,3.8438578136173
2022-03-31,4.2767174075655
2022-04-01,3.940113490276
2022-04-02,4.1006385584598
2022-04-03,4.1367676098557
2022-04-04,4.013044278655
2022-04-05,3.5453874502335
2022-04-06,3.4692902137205
2022-04-07,3.216103029886
2022-04-08,3.294861223569
2022-04-09,3.0421875698663
2022-04-10,3.1741339630825
2022-04-11,3.3198882069006
2022-04-12,2.759073160396
2022-04-13,2.8162858774376
2022-04-14,2.9059513250793
2022-04-15,2.7241060132645
2022-04-16,2.6709639452885
2022-04-17,2.7125353591358
2022-04-18,2.7634678382582
2022-04-19,3.2162435531152
2022-04-20,3.1621858245253
2022-04-21,3.0023914794655
2022-04-22,2.8502759482797
2022-04-23,2.8626045493252
2022-04-24,2.7989587196373
2022-04-25,2.6521241571091
2022-04-26,2.6045221032347
2022-04-27,2.2331261731322
2022-04-28,2.5000317505115
2022-04-29,2.6255665761412
2022-04-30,2.5056364845703
2022-05-01,2.3694268525558
2022-05-02,2.710135792879
2022-05-03,2.8623669221723
2022-05-04,2.6168022785259
2022-05-05,2.8944281915165
2022-05-06,2.7259562957024
2022-05-07,2.6490944055142
2022-05-08,2.5690682894706
2022-05-09,2.5906578526033
2022-05-10,2.3611290546242
2022-05-11,2.1798230900842
2022-05-12,1.0456134629765
2022-05-13,1.0122737645546
2022-05-14,1.1062122970912
2022-05-15,1.1699444609177
2022-05-16,1.2426442777617
2022-05-17,1.0515997414923
2022-05-18,1.1242402722932
2022-05-19,1.0198016991713
2022-05-20,1.0667162802443
2022-05-21,1.2957346266676
2022-05-22,1.2049766528978
2022-05-23,1.2562137899585
2022-05-24,1.212198863877
2022-05-25,1.2605265196779
2022-05-26,1.2379293017569
2022-05-27,1.3545708325671
2022-05-28,1.1601131990249
2022-05-29,1.2630856657331
2022-05-30,1.2920361156789
2022-05-31,1.3495009778004
